Key  (PURPLE means not ready for translation yet),Translation,Version,Comment (context for translators)
achievement.date,Teljesítve: {0},,"{0} is a date, like 2022-10-12"
achievement.DiscoverEgg,Ez eddig nem volt itt,,
achievement.DiscoverEgg.desc,Találj egy tojást a hajón,,
achievement.DiscoverTerraformable,Megvan!,,this refers to finally discovering a terraformable planet after a long search
achievement.DiscoverTerraformable.desc,Találj egy terraformálható bolygót,,
achievement.Elysium,Elysium,,
achievement.Elysium.desc,Alakítsd a Sztázis Tömböt Elysiumá,,
achievement.FirstContact,Első találkozás,,
achievement.FirstContact.desc,Találkozz egy másik frakcióval,,
achievement.FirstCup,A reggeli csésze,,
achievement.FirstCup.desc,A legénységed egy tagja igyon kávét,,
achievement.HatchCrawlers,Nem az a fajta szülés,,
achievement.HatchCrawlers.desc,"Engedd egy Mászkálónak, hogy kikeljen egy kolonistából",,
achievement.Money5,$1x10^5,,
achievement.Money5.desc,"Szerezz 100,000 Starkreditet",,
achievement.Money6,$1x10^6,,
achievement.Money6.desc,"Szerezz 1,000,000 Starkreditet",,
achievement.Money7,$1x10^7,,
achievement.Money7.desc,"Szerezz 10,000,000 Starkreditet",,
achievement.Money8,$1x10^8,,
achievement.Money8.desc,"Szerezz 100,000,000 Starkreditet",,
achievement.Money9,$1x10^9,,
achievement.Money9.desc,"Szerezz 1,000,000,000 Starkreditet",,
achievement.OnePiece,Egy darabban,,"short for ""all in one piece"" idiom, which means ""Uninjured or unharmed; fully intact."". Examples of idiom use: We are lucky to have walked away from that car accident all in one piece. I made sure to pack the heirloom carefully so that it would still be all in one piece when it reached my daughter."
achievement.OnePiece.desc,Csatlakoztasd a roncs hajó darabjait egybe,,
achievement.StasisDestroyed,Nincs több remény,,
achievement.StasisDestroyed.desc,Legyen a Sztázis Tömböt elpusztítva,,
achievement.StockMarketLoss,Bárki közülünk,,
achievement.StockMarketLoss.desc,Adj el egy Értékpapírod $100K veszteséggel a Tőzsdén,,
achievement.TerraformAtmosphere,Terraformálj Atmoszférát,,
achievement.TerraformAtmosphere.desc,Hozz létre atmoszférát egy bolygón,,
achievement.TerraformBiosphere,Terraformálj Bioszférát,,
achievement.TerraformBiosphere.desc,Hozz létre bioszférát egy bolygón,,
achievement.TerraformOceans,Terraformálj Óceánokat,,
achievement.TerraformOceans.desc,Hozz létre óceánokat és folyókat egy bolygón,,
achievement.TerraformTerrain,Terraformálj Talajt,,
achievement.TerraformTerrain.desc,Hozz létre kontinenseket és talajt egy bolygón,,
achievement.unlocked,Teljesítmény elérve: {0},,
achievement.VoidRipper,Űrszakító,,"this is a name for a fictional device that allows ripping the fabric of space-time and traveling though a tunnel between two black holes. ""Void"" here is as in ""emptiness, empty space"""
achievement.VoidRipper.desc,Utazz keresztül egy Fekete Lyukon,,
achievement.WeaponizedCleaningBot,A Terminátor,,
achievement.WeaponizedCleaningBot.desc,Fegyverezz fel egy takarító robotot,,
achievement.Winch,Csörlő,,
achievement.Winch.desc,Köss össze két hajó szegmenst Csörlővel,,
achievements,Teljesítmények,,
achievements.disabled,Teljesítmények letiltva,,
achievements.stat,Teljesítmények [{0}/{1}],,
act.AnimalEat,Eszik,,
act.BotDock,Dokkol,,
act.BreakdownDeconstruct,Rombol,,
act.BreakdownStartFire,Gyújtogat,,
act.BreakdownInsanity,Megőrül,,
act.BreakdownRoamAround,Barangol,,
act.BreakdownSpaceDiarrhea,Űrhasmenésben szenved,,
act.BringResourcesAndConstruct,Épít,,
act.CatchTarget,Üldöz,,
act.Clean,Takarít,,
act.CleanDevice,Eszközt takarít,,
act.CleanFloors,Padlót takarít,,
act.CleanSolarPanel,Takarítja a Napelemet,,
act.Construct,Épít,,
act.CrawlerAttached,Próbálja leszedni a Mászkálót,,
act.Deconstruct,Lebont,,
act.Disassemble,Szétszed,,
act.Drink,Frissítőt iszik,,
act.Eat,Eszik,,
act.EnterShuttle,Beszáll az Űrsiklóba,,
act.FindBodyClothing,Ruhát keres,,
act.FindHeadgear,Fejfedőt keres,,
act.FindHumanPrey,Áldozat után néz,,
act.FindInstallableObject,Telepíthető objektumot keres,,
act.Firefight,Tüzet olt,,
act.GatherRawMaterials,Anyagokat gyűjt,,
act.GatherUnstoredRawMaterials,Anyaghalmot gyűjt,,
act.HarvestPlant,Betakarítja a termést,,
act.HaulRawMaterials,Agyagot cipel,,
act.HaulToNutrientExtractor,Tápanyag Kivonóhoz cipel,,
act.HaulUnstoredItem,Tárolóba cipel,,
act.Heal,Orvosi ellátást vesz igénybe,,
act.Install,Objektumot telepít,,
act.InstallUpgrade,Fejlesztést telepít,,
act.MLTrain,Gépi tanulást csinál,,
act.MoveNextToObject,A célba igyekszik,,
act.MoveNextToPos,A pozícióba igyekszik,,"This is about the worker, as in ""worker is moving to position"""
act.MoveObj,Objektumot mozgat,,
act.MoveToOrNextToPos,A célba igyekszik,,"This is about the worker, as in ""worker is moving to position"""
act.MoveToPos,A pozícióba igyekszik,,"This is about the worker, as in ""worker is moving to position"""
act.MoveToSafety,Fedezéket keres,,
act.MoveToWorkSpot,Dolgozni megy,,
act.None,Semmit nem csinál,,
act.Noop,Tétlenkedik,,
act.OperateDevice,Eszközt kezel,,
act.Panic,Pánikol,,
act.Pet,Kedvencet simogat,,
act.PlaceUnconstructed,Épít,,
act.Process,Feldolgoz,,
act.ProcessStoredMat,Tárolt anyagot dolgoz fel,,
act.ProvideTempGrid,Ideiglenes kapcsolatot biztosít,,
act.Recharge,Kutat,,
act.RefillPetBowl,Újratölti az itató tálat,,
act.Relocate,Áthelyez egy tárgyat,,
act.Repair,Károkat javít,,
act.ReplaceTile,Lecserél egy objektumot,,
act.RescueInSpace,Megment valakit aki beragadt,,
act.researching,Kutat,,
act.Ride,Lovagol,,
act.Roam,Barangol,,
act.Sleep,Aludni megy,,
act.Socialize,Szocializálódik,,
act.StartFire,Gyújtogat,,
act.StoreItem,Tárgyat tárol,,
act.StoreMat,Anyagot cipel a tárolóba,,
act.StoreRawMaterials,Anyagot tárol,,
act.Uninstall,Objektumot távolít el,,
act.UseFoodConsumptionSpot,Eszik,,
act.UseShower,Zuhanyzik,,
act.UseToilet,WC-zik,,
act.Vent,Kiengedi a gőzt,,"Verb, when someone is expressing anger, etc"
act.Wait,Várakozik,,
act.WaitForMaintenance,Karbantartás alatt,,
act.WaitForRecharge,Újratölt,,
act.Workout,Eddz,,
action.extract_nutrients,Tápanyagkivonás,,
action.process,Feldolgozás,,
action.required,Cselekvés szükséges,,
action.store,Tároló Egységhez cipel,,
action.store.item,Cipel a Tételtárolóba,,
action.unavailable,Művelet nem elérhető,,
actions.available,Elérhető műveletek: {0},,
activate,Aktív,,
activate.siren,Sziréna aktiválása,,
active,Aktív,,"Opposite of Inactive or Disabled. Appears on device buttons that can switch the state, or on labels that display that device is active (operational, running)"
active.orders,Aktív műveletek,,
active.orders.info,"Aktív parancsokat közvetlenül az eszközök menüből adhatsz ki. A maximálisan kiadható parancsok az űrhajó Fedélzeti Számítógépének az elérhető memóriájától függenek. Ha ettől több parancsot adsz ki, várnod kell, amíg az aktív parancsok száma lecsökken, mielőtt új parancsokat adhatnál ki.",,
ad.rej.cancelled,A feladatot törölték,,
ad.rej.construction.site.obstructed,Építési terület akadályoztatva,,
ad.rej.could.not.reserve,Nem sikerült lefoglalni a tételt,,
ad.rej.dock.not.available,Nincs elérhető dokkoló,,
ad.rej.emergency.siren,A munkás figyelmét a vészjelző sziréna vonta el,,
ad.rej.interrupted,Megszakítva,,
ad.rej.lacking.bed,Nem talált ágyat,,
ad.rej.lacking.body.clothing,Nem talált ruhát,,
ad.rej.lacking.drink,Nincs elegendő ital,,
ad.rej.lacking.edible,Nincs elegendő étel,,
ad.rej.lacking.healer,Nincs elegendő orvosi felszerelés,,
ad.rej.lacking.mat,Nincs elég anyag,,
ad.rej.lacking.shower,Nincs elég fürdő,,
ad.rej.lacking.skill,Munkás nem elég képzett,,
ad.rej.lacking.toilet,Nincs elég WC,,
ad.rej.lacking.workout.equipment,Nincs elég edzőberendezés,,
ad.rej.nav.fail.flying,"A repülő lény nem talált utat a célponthoz. Ellenőrizd, hogy az ajtók áram alatt vannak-e, nincsenek bezárva vagy a munkás nincs befalazva.",,
ad.rej.nav.fail.grounded,"Lény nem talált utat a célponthoz. Ellenőrizd hogy az ajtók áram alatt vannak-e, nincsenek bezárva vagy a lény nincs befalazva.",,
ad.rej.no.flying.worker,"Ehhez a feladat repülést igényel, viszont nincs ilyen munkásod.",,
ad.rej.no.nutrient.extractor,Tápanyag Kivonó nem elérhető,,
ad.rej.no.priority,A munkásnak 0 volt a prioritása az ilyen típusú feladatoknál,,
ad.rej.no.processor,Processzor nem elérhető,,
ad.rej.no.storage,Tárolóegység nem elérhető,,
ad.rej.no.worker.can.level.up.enough,"A jelenlegi munkások egyike sem elég képzett ahhoz, ami megfelelne a feladat elvégzéséhez szükséges képzettségi követelménynek.",,
ad.rej.no.worker.with.skill,"Egyik munkás sem rendelkezik elegendő szakértelemmel a feladat elvégzéséhez. Szintet léphetnek, ha könnyebb ilyen típusú feladatokon dolgoznak, vagy ha az MT Standban képezed őket.",,
ad.rej.no.workers,Nincs elérhető munkás,,
ad.rej.processable.not.available,Nincs feldolgozható anyag,,
ad.rej.processor.queue.full,A processzor várólistája megtelt,,
ad.rej.taking.damage,"Félbehagyva, mivel a munkás megsérült",,
ad.rej.target.unavailable,Cél nem elérhető,,
ad.rej.undefined,Definiálatlan (Bug),,
ad.rej.unreachable,Elérhetetlen helyszín,,
ad.rej.unreachable.item,Munkás nem tudott hozzáférni a tételhez,,
ad.rej.unreachable.mat.flying,"A repülő munkás nem tudta elérni a szükséges anyagot. Ellenőrizze, hogy a munkásnak van-e szabad útja az anyaghoz.",,
ad.rej.unreachable.mat.grounded,"A  munkás nem tudta elérni a szükséges anyagot. Ellenőrizze, hogy a munkásnak van-e szabad útja az anyaghoz.",,
ad.rej.unsafe,Nem biztonságos körülmények,,
ad.rej.unsafe.for.skilled,A feladat elvégzésére képes munkás nem rendelkezik biztonságos körülményekkel a munkahely körül. Valószínűleg csak ember képes ezt megépíteni.,,
ad.rej.urgent.need,A munkásnak sürgős dolga akadt,,
ad.rej.worker.offline,A munkás elérhetetlenné vált,,
add,Hozzáad,,
add.log.entry,Naplóbejegyzés hozzáadása,,
add.to.queue,Hozzáadás a varólistához,,
adj.rej.unreachable,Cél elérhetetlen,,
advanced,Fejlettebb,,"For now only used in switching between ""Advanced"" and ""Basic"" life support system function"
advert.cancel,{0} viszavonása,,
advert.priority,Feladat prioritás: {0},,
advert.priority.down,Prioritás csökkentése,,
advert.priority.up,Prioritás növelése,,
advert.reject.info,Feladat elutasítva <i>[{0}]</i>: {1} - {2},,
advert.rejected,Elutasítva,,
advert.retry,Feladat újrapróbálása,,
advert.task,Feladat <i>[{0}]</i>: {1},,
aesthetics,Esztétika,,
aesthetics.at,Esztétika: {0}: {1:0.0},,
after.settle,"{0} ad otthont a kolóniádnak, ahol az embereid letelepedtek. Összesen {1} napba telt megtalálni és terraformálni a bolygót. {2} ember úgy döntött, hogy továbbra is a hajón marad.<br><br>Ha szeretnéd, folytathatot az univerzum felfedezését addig ameddig szeretnéd.",,"{0} is planet name, {1} is a number (of days), {2} is a number (of colonists)"
age,Kor,,
airtightness.at,Légzártság {0}: {1},,"When you open ""airtightness"" overlay, hovering any location with the mouse will show a tooltip showing ""Airtightness at [123:12]: 99%"". {0} variable is coordinate, {1} is percentage."
all.time,Bármikor,,"Used in stock market history range choice (1 day, 1 week, 1 month, 1 year, all time)"
alone,Egyedül,,"Used in showing mood boost reason for introverted people when they are alone, not in a crowd"
amb.color,Környezeti fény,2022-09-03,"For video setting that controls how much ambient light will there be, i.e. how dark things will get if there are no lamps installed. Last change was ""Ambient Color"" => ""Ambient Light"""
amb.color.bright,Túl fényes,,Ambient light option when everything will be very bright
amb.color.dark,Vaksötét,,"Darkest ambient light option, that will keep things very dark unless there are light sources"
amb.color.dim,Félhomály,,Somewhat dark ambient light option that still has good visibility
amb.color.mid,Közepes,,"Medium ambient light option, between bright and dark"
ammo,Lőszer,,
ammo.bar,Lőszer: {0}/{1},,
ammo.type,Lőszer típus: {0},,
amount.left,Maradt,,
animated.bg,Űr háttér animáció,,
anomalies,Anomáliák,,
anomalies.info,"Ennek az objektumnak vannak olyan anomáliái, amelyek felfedezhetők az expedíciók során. Ezek veszélyesek lehetnek!",,
apply,Alkalmaz,,
area.size,Méret {0},,
arriving.soon,Érkezés: {0},,{0} will be replaced with who is arriving (i.e Arriving: Ore trader). For now only used for notifying about arriving merchants.
asimov.violation.1,"Ez a művelet sérti Asimov első robottörvényét. Egy robot nem sebesíthet meg egy emberi lényt, és nem engedheti meg, hogy tétlenségével egy emberi lény megsérüljön tőle. Megszakítás.",,
asimov.violation.3,"Ez a művelet sérti Asimov harmadik robottörvényét. Egy robotnak meg kell védenie saját létezését, amíg ez a védelem nem ütközik az első vagy a második törvénnyel. Megszakítás.",,
assemble,Összeszerelés,,
assembling.now,{0} összeszerelése,,
assigned.to.selected.worker,Hozzárendelve a kiválasztott munkáshoz,,
assigned.to.worker,Hozzárendelve: {0},,
assigned.worker,Hozzárendelve,,
asteroid,Aszteroida,,
asteroid.avoided,Nagyszerű hírünk van mindenkinek! Elkerültünk egy aszteroidával történő ütközést!,,
asteroid.impact,Aszteroida becsapódás,,
asteroid.incoming,Érkező aszteroida,,
ate.at.makeshift.table,Rögtönzött asztalnál evett,,
ate.at.table,Asztalnál evett,,
ate.from.a.bowl,Tálból evett,,
ate.without.bowl,Tál nélkül evett,,
ate.without.table,Asztal nélkül evett,,
attachment.Friendship,Barátság,,
attachment.Friendship.about,Ezt a lényt barátnak tekinti,,
attachment.PersonBed,Ágy,,
attachment.PersonBed.about,"Ez a személy ezt az ágyat a tulajdonának tekinti. Megpróbál itt aludni, amikor csak tud.",,
attachment.PetBed,Kisállat ágy,,
attachment.PetBed.about,"Ez a háziállat ezt az ágyat a tulajdonának tekinti. Megpróbál itt aludni, amikor csak tud.",,
attention,Figyelem,,
attracted.to,Vonzódik hozzá,,"For showing what gender the being is attracted to (i.e. ""Attracted To -> Female"")"
audio.amb.cutoff.tip,"Ha engedélyezve van, a környezeti források (különböző készülékhangok, motorzajok stb.) távolabbról tompábban fognak szólni.",,
audio.fx.cutoff.tip,"Ha engedélyezve van, a hanghatások (hangjelzések, robbanások stb.) távolabbról tompábban fognak szólni.",,
audio.max.silence,Csend a számok között: {0},,
audio.max.silence.tip,A zeneszámok közötti csend időszakainak beállítása.,,
audio.music.cutoff.tip,"Ha engedélyezve van, a zene tompábban fog szólni, amikor közelítesz.",,
audio.ui.hover,UI lebegés hang,,
auto,Auto,,"short for ""Automatic"", could be used on a narrow button that toggles between automatic and some other (i.e. manual) setting"
auto.clean,Autom. Takarít,,
auto.clean.info,"Ha az Automatikus tisztítás engedélyezve van, a dolgozók automatikusan megtisztítják ezt az eszközt, ha az piszkos lesz.",,
auto.close,Autom. Bezár,,
auto.harvest,Autom. Betakarít,,
auto.haul,Autom. Elszállít,,
auto.haul.info,"A munkások automatikusan elszállítják a kompatibilis tételeket ebbe a létesítménybe, hacsak az automatikus elszállítás nincs kikapcsolva az eszköz konfigurációjában.",,
auto.refill.amount,Autom. utántöltés mennyisége,,
auto.refill.amount.help,"Ez az a maximális üzemanyagmennyiség, amelyet a dolgozók a készülékbe töltenek. Az Újratöltési feladat automatikusan létrejön, amikor az üzemanyag az automatikus újratöltési mennyiség 50%-a alá csökken.",2022-06-27,
auto.report.consent,Automatikus jelentési hozzájárulás,,
auto.report.consent.info,"Szeretné automatikusan jelenteni a játék összeomlásait és hibáit a fejlesztőnek?<br><br>Nagyon fontos, hogy ezeket a jelentéseket megkapjuk a játékkal kapcsolatos problémák és problémák megoldása érdekében, ezért kérjük, fontolja meg ennek elfogadását.<br><br>Több információ: https://stardeusgame.com/privacy/",,
auto.reporting,Automatikus hibajelentés,,
auto.reporting.tip,"Ha engedélyezve van, akkor a játékbeli hibákat, kivételeket és összeomlásokat elküldi a fejlesztőnek. Kérjük, fontold meg, hogy engedélyezve hagyod, ha szeretnéd, hogy a játék jobb legyen. Tudj meg többet arról, hogy mi kerül elküldésre a stardeusgame.com/privacy/ oldalon.",,
auto.save.on.exit,Automatikus mentés kilépéskor,,
auto.save.periodic,Időszakos automatikus mentés,,
autoclean.amount,Automatikus tisztítás mennyisége,,
autoclean.disabled,Automatikus tisztítás letiltva,,
autoclean.dust.amount,Automatikus tisztítási küszöbérték,,
autoclean.dust.tooltip,"Automatikusan létrehoz egy feladatot a panel tisztítására, ha a porszint eléri ezt az értéket.",,
autoclean.enabled,Automatikus tisztítás engedélyezve,,
autoclean.interval.minutes,Automatikus tisztítási időköz (perc),,
autosave,Automatikus mentés,,
autosave.short,A,,
autosaving,Automatikus mentés,,
autoscale.on,UI automatikus skálázásának engedélyezése,,
autoscale.on.why,"A képernyő felbontása megváltozott. A felhasználói felület automatikus méretezése, mivel az előző érték az érvényes tartományon kívül volt.",,
available.count,Elérhető: {0},,
available.materials,Leltár,2022-06-17,
available.materials.none,Nincsenek rendelkezésre álló anyagok!,,
available.memory,Rendelkezésre álló memória: {0}EB,,
available.storage,Rendelkezésre álló tároló: {0}ZB,,
available.tasks,Függő feladatok,,
basic,Alapvető,,"Opposite of ""Advanced"". For now only used in life support option choice (Advanced / Basic)"
battery.charge,Akkumulátor töltés,,
battery.charge.bar,Töltés: {0},2022-07-12,
battery.charge.rate,Töltés mértéke,,The amount of electricity the battery draws when charging (i.e. 50kW)
battery.discharge.rate,Merülés mértéke,,The amount of electricity the battery can produce when discharging (i.e. 100kW)
battery.discharged,Akkumulátor lemerült,,
battery.info,Akkumulátor: {0},,
battery.mode,Mód: {0},,
battery.state,Státusz,,
battery.state.Charging,Tölt,,
battery.state.Discharging,Merül,,
battery.state.Idle,Tétlen,,
battery.ttd,Idő a lemerülésig,,
battery.ttd.tip,Idő a teljes kisülésig a jelenlegi töltöttségi szintról a maximális {0} kisülési ráta mellett.,,
beautiful.surroundings,Gyönyörű környezet,,
being.can.reach,{0} el tud menni ide: {1},,"Used to show result of ""walkability"" check for a selected being. {0} will be the name, {1} will be a coordinate. (John can go to [12:13])"
being.cannot.reach,{0} nem tud elmenni ide: {1},,"Just like above, but when the walk is not possible (John cannot go to [12:13])"
being.died,{0} feldobta a pacskert,,
being.no.longer.available,A lény többé már nem elérhető,,
being.taking.damage,{0} típusú sebzést szenvedett,,"{0} will be damage type, i.e. ""Took Cold Damage"""
being.thinks.safe,{0} szerint {1} biztonságos,,"For a tooltip that shows if selected location is safe to be in. {0} is name, {1} is coordinate. Example: ""John thinks [123:324] is safe"""
being.thinks.unsafe,{0} szerint {1} nem biztonságos!,,"For a tooltip that shows if selected location is not safe to be in. {0} is name, {1} is coordinate. Example: ""John thinks [123:324] is not safe!"""
being.woke.up,{0} felébredt a sztázisból,2022-05-17,
beings,Lények,,
beings.carrier01,Szállító drón,,
beings.carrier01.desc,"Egy mozgékony repülő drón, amely csak egyszerű vontatási és karbantartási feladatokra alkalmas.",,
beings.cat01,Macsek,,
beings.cat01.desc,"Kicsi, háziasított húsevő emlős, puha szőrrel, rövid orral és behúzható karmokkal. Széles körben tartják háziállatként vagy egérfogásra, és számos fajtát fejlesztettek ki.",2022-09-12,
beings.cleaningbot01,Takarító robot,,
beings.cleaningbot01.desc,"Egy intelligens robotporszívó, amelynek csak egy feladata van - a padló tisztítása",,
beings.crawler01,Mászkáló,,
beings.crawler01.desc,Egy eddig nem látott pókszerű idegen faj. Veszélyesnek tűnik.,,
beings.dog01,Kutya,,
beings.dog01.desc,"Háziasított húsevő emlős, amely jellemzően hosszú orral, éles szaglással, nem visszahúzható karmokkal és ugató, üvöltő vagy vinnyogó hanggal rendelkezik.",2022-09-12,
beings.drone01,Építő Drón,,
beings.drone01.desc,"A drónok gyorsak és képesek nyílt térben repülni. Nem tudnak nagy súlyt cipelni, és nem képesek fejlett feladatok elvégzésére. Töltőállomásra van szükségük a feltöltéshez. Lassúvá és hatástalanná válik, ha kevés az energiája. Összeszerelő segítségével hozhatod létre őket.",,
beings.human01,Ember,,
beings.human01.desc,"Valaki, aki olyan, mint te voltál",,
beings.robot01,Építőrobot,,
beings.robot01.desc,"A robotok nagyszerűen oldják meg a mechanikai feladatokat, és olyan fejlett építőipari munkákat is el tudnak végezni, amelyekre mások esetleg képtelenek lennének. Lassúak, és szilárd talajra van szükségük a mozgáshoz. ",2022-11-13,
beings.sentry01,Őrszem Drón,,
beings.sentry01.desc,"Egy biztonsági drón, amely nem végez sok munkát, de harcra épült. Több életerővel rendelkezik, mint egy hagyományos drón. Az extra szigetelés nagyszerű tűzoltóvá teszi őket.",,
beta.wave.sync.bar,Béta hullám szinkronizáció: {0},,
biowaste.accumulation,Biohulladék felhalmozódás,,
biowaste.amount,Biohulladék mennyisége,,
biowaste.amount.bar,Biohulladék: {0}/{1},,
biowaste.amount.warning,Biohulladék tisztítása ajánlott,,
birth.date,Születési dátum,,
blocked.door,Blokkolt ajtó,,"Displayed in event panel when there is a door that is blocked by some device, preventing the door from being used"
bog.opt.half,Fél,,
bomb.arm,Robbanószer élesítés,,
bomb.armed,Robbanóanyag: Élesítve,,
bomb.controls,Robbanószer vezérlők,,
bomb.detonate.now,Detonálás,,
bomb.disarm,Robbanószer hatástalanítása,,
bomb.unarmed,Robbanószer: hatástalanítva,,
bored,Unatkozik,,
brain.stat.CanCompromiseHullIntegrity,Veszélyeztetheti a hajótest épségét,,
brain.stat.CanCompromiseSafety,Veszélyeztetheti a biztonságot,,
brain.stat.Completed,Befejezett feladatok,,
brain.stat.CompletedStreak,Befejezett Sorozat,,
brain.stat.Failed,Sikertelen Feladatok,,
brain.stat.FailedStreak,Sikertelen Sorozat,,
brain.stat.JobPriority0,Nincs munkaprioritás,,
brain.stat.LastEvalTime,Utolsó értékelés,,
brain.stat.LastFailedAd,Utolsó sikertelen,,
brain.stat.LastSuccessfulAd,Utolsó siker,,
brain.stat.NoNeed,Nem szükséges ,,One of the statistics for reasons why worker did not do some tasks. This is for types of tasks where worker needs are evaluated. I.e. robot did not recharge because the battery was full -> no need
brain.stat.NoSkill,Alulképzett,,
brain.stat.Reluctant,A munkás vonakodik elvégezni a munkát,,
brain.stat.Total,Elérhető Feladatok,,
brain.stat.UnableToFly,Nem tud repülni,,
brain.stat.UnreachableLoc,Elérhetetlen helyszínnel,,
brain.stat.UnreachableLocMem,Elérhetetlen hely a memóriában,,
brain.stat.UnreachableMats,Elérhetetlen anyagokkal,,
brain.stat.Unsafe,Feladatok nem biztonságos helyen,,
brain.stat.Workable,Megoldható Feladatok,,
breach.capsule.incoming,Bejövő Támadó Kapszula,,
breakdown.BreakdownDeconstruct,Összeomlott: Tör-zúz,,
breakdown.BreakdownDeconstruct.desc,{0} véletlenszerű tárgyakat pusztít el egy mentális összeomlás miatt.,,
breakdown.BreakdownInsanity,Elmezavar,,
breakdown.BreakdownInsanity.desc,"{0} túl sok stresszen ment keresztül, és megőrült. El fog múlni, hacsak nem történik valami rossz.",,
breakdown.BreakdownRoamAround,Összeomlott: körbe-körbe jár,,
breakdown.BreakdownRoamAround.desc,"{0} céltalanul bolyong, bámulja az ürességet.",,
breakdown.BreakdownSpaceDiarrhea,Fertőzött kolonista,,
breakdown.BreakdownSpaceDiarrhea.desc,{0} megfertőződött űrhasmenéssel,,
breakdown.BreakdownStartFire,Gyújtogat,,
breakdown.BreakdownStartFire.desc,{0} láthatólag sétálgat és gyújtogat dolgokat.,,
breakdown.CrawlerAttached,A lény rácsatlakozott egy kolonistára!,,
breakdown.CrawlerAttached.desc,Idegen lény tapadt rá {0} arcára!,,
breakdown.Deconstruct,Véletlenszerű tárgyakat pusztít,,
brew,Főz,,"Action verb. Used on a button that brews a drink (coffee, beer, etc). Should be short if possible"
brewing.bar,Főzés: {0},,"Displayed in a tooltip of a machine that brews drinks. Shows what exactly is brewing. {0} will be the drink name, i.e. ""Brewing: Coffee"""
bridge.controls,Hídvezérlés,,
build.a.copy,Másolat készítése,,
build.connector,Csatlakozó építése,,
bullet,Töltény,,
bullet.target,Célpont: {0},,
buy,Vásárlás,,
call.back,Expedíció visszahívása,,
calories,Kalóriák,,
cancel,Mégsem,,
