Key,Value,Version,Comment
achievement.TerraformOceans.desc,"Erschaffe Ozeane und Flüsse auf einem Planeten.",,
achievement.TerraformTerrain,"Terraformiere ein Terrain.",,
achievement.TerraformTerrain.desc,"Erschaffe Kontinente und Terrain auf einem Planten.",,
achievement.unlocked,"Errungenschaft {0} freigeschaltet",,
achievement.VoidRipper,Voidzerreißer,,"this is a name for a fictional device that allows ripping the fabric of space-time and traveling though a tunnel between two black holes. »Void« here is as in »emptiness, empty space« [Weidengeist: »Void« is also a scientific term in German, so it may be used here.]"
achievement.VoidRipper.desc,"Fliege durch ein Schwarzes Loch.",,
achievement.WeaponizedCleaningBot,"Der Terminator",,
achievement.WeaponizedCleaningBot.desc,"Bewaffne einen Putzroboter.",,
achievement.Winch,Winde,,
achievement.Winch.desc,"Ziehe zwei Schiffsteilen mit Hilfe einer Winde zusammen.",,
achievements,Errungenschaften,,
achievements.disabled,"Errungenschaften deaktiviert",,
achievements.stat,"Errungenschaften: [{0}/{1}]",,
act.AnimalEat,Frisst,,
act.BotDock,"Dockt an",,
act.BreakdownDeconstruct,"Zerstört Dinge",,
act.BreakdownStartFire,"Legt Brände",,
act.BreakdownInsanity,"Wird wahnsinnig",,
act.BreakdownRoamAround,"Streift umher",,
act.BreakdownSpaceDiarrhea,"Leidet an Weltraumdiarrhöe",,
act.BringResourcesAndConstruct,Konstruiert,,
act.CatchTarget,"Verfolgt jemanden",,
act.Clean,Reinigt,,
act.CleanDevice,"Reinigt ein Gerät",,
act.CleanFloors,"Reinigt Böden",,
act.CleanSolarPanel,"Reinigt Solarpaneel",,
act.Construct,Konstruiert,,
act.CrawlerAttached,"Versucht, die Kreatur zu entfernen",,
act.Deconstruct,Dekonstruiert,,
act.Disassemble,Demontiert,,
act.Drink,Trinkt,,
act.Eat,Isst,,
act.EnterShuttle,"Betritt das Schiff",,
act.FindBodyClothing,"Zieht Kleidung an",,
act.FindHeadgear,"Findet Kopfbedeckung",,
act.FindHumanPrey,"Sucht Beute",,
act.FindInstallableObject,"Sucht installierbares Objekt",,
act.Firefight,"Löscht Feuer",,
act.GatherRawMaterials,"Sammelt Werkstoffe",,
act.GatherUnstoredRawMaterials,"Sammelt nicht eingelagerte Werkstoffe",,
act.HarvestPlant,"Erntet Pflanzen",,
act.HaulRawMaterials,"Transportiert Werkstoffe",,
act.HaulToNutrientExtractor,"Transportiert zum Nährstoffextraktor",,
act.HaulUnstoredItem,"Trägt Gegenstand ins Lager",,
act.Heal,"Wird medizinisch versorgt",,
act.Install,"Installiert Objekt",,
act.InstallUpgrade,"Installiert Verbesserung",,
act.MLTrain,"Führt maschinelles Lernen durch",,
act.MoveNextToObject,"Bewegt sich zum Ziel",,
act.MoveNextToPos,"Geht zu",,"This is about the worker, as in »worker is moving to position«"
act.MoveObj,"Bewegt Objekt",,
act.MoveToOrNextToPos,"Geht auf Position",,"This is about the worker, as in »worker is moving to position«"
act.MoveToPos,"Geht zu",,"This is about the worker, as in »worker is moving to position«"
act.MoveToSafety,"Geht in Sicherheit",,
act.MoveToWorkSpot,"Geht zur Arbeitsstelle",,
act.None,"Tut nichts",,
act.Noop,Faulenzt,,
act.OperateDevice,"Bedient ein Gerät",,
act.Panic,"In Panik",,
act.Pet,"Streichelt ein Haustier",,
act.PlaceUnconstructed,"Befiehlt Konstruktion",,
act.Process,Verarbeitet,,
act.ProcessStoredMat,"Verarbeitet Lagergut",,
act.ProvideTempGrid,"Stellt einen temporären Stromanschluss bereit",,
act.Recharge,"Lädt auf",,
act.RefillPetBowl,"Füllt Futternapf nach",,
act.Relocate,"Setzt Objekt um",,
act.Repair,"Repariert Schäden",,
act.ReplaceTile,"Ersetzt ein Objekt",,
act.RescueInSpace,"Rettet ein im Weltraum gestrandetes Wesen",,
act.researching,Forscht,,
act.Ride,Reitet,,
act.Roam,"Streift umher",,
act.Sleep,"Geht schlafen",,
act.Socialize,"Pflegt soziale Kontakte",,
act.StartFire,Zündelt,,
act.StoreItem,"Lagert Gegenstand ein",,
act.StoreMat,"Trägt Werkstoffe ins Lager",,
act.StoreRawMaterials,"Lagert Werkstoffe ein",,
act.Uninstall,"Deinstalliert Objekt",,
act.UseFoodConsumptionSpot,Isst,,
act.UseShower,Duscht,,
act.UseToilet,"Benutzt Toilette",,
act.Vent,"Lässt Dampf ab",,"Verb, when someone is expressing anger, etc"
act.Wait,Wartet,,
act.WaitForMaintenance,"Wird gewartet",,
act.WaitForRecharge,"Lädt auf",,
act.Workout,"Treibt Sport",,
action.extract_nutrients,"Nährstoffe extrahieren",,
action.process,Verarbeiten,,
action.required,"Aktion erforderlich",,
action.store,"Zu Lagereinheit transp.",,"[Weidengeist: Abbreviated to fit the info panel.]"
action.store.item,"Ins Lager transportieren",,
action.unavailable,"Aktion nicht verfügbar",,
actions.available,"Verfügbare Aktionen: {0}",,
activate,Aktivieren,,
activate.siren,"Sirene aktivieren",,
active,Aktiv,,"Opposite of Inactive or Disabled. Appears on device buttons that can switch the state, or on labels that display that device is active (operational, running)"
active.orders,"Aktive Befehle",,
active.orders.info,"Die Gesamtzahl der aktiven Aufträge ist durch die Ressource <b>Arbeitspeicher</b> begrenzt. Baue neue <b>Arbeitsspeichermodule</b>, um das Limit zu erhöhen.<br><br>Sobald das Limit erreicht ist, kannst du keine neuen manuellen Aufträge mehr erstellen.",2023-09-15,
ad.rej.cancelled,"Aufgabe wurde abgebrochen",,
ad.rej.construction.site.obstructed,"Baustelle blockiert",,
ad.rej.could.not.reserve,"Konnte den Gegenstand nicht reservieren",,
ad.rej.dock.not.available,"Dock nicht verfügbar",,
ad.rej.emergency.siren,"Arbeiter wurde durch eine Notfallsirene abgelenkt",,
ad.rej.interrupted,Unterbrochen,,
ad.rej.lacking.bed,"Konnte kein Bett finden",,
ad.rej.lacking.body.clothing,"Kann keine Körperbekleidung finden",,
ad.rej.lacking.drink,"Getränk war nicht verfügbar",,
ad.rej.lacking.edible,"Essen ist nicht verfügbar",,
ad.rej.lacking.healer,"Fehlende Heilstation",,
ad.rej.lacking.mat,"Fehlende Werkstoffe",,
ad.rej.lacking.shower,"Fehlende Dusche",,
ad.rej.lacking.skill,"Arbeiter hat unzureichende Fähigkeiten",,
ad.rej.lacking.toilet,"Fehlende Toilette",,
ad.rej.lacking.workout.equipment,"Fehlendes Sportgerät",,
ad.rej.nav.fail.flying,"Fliegendes Wesen hat den Weg zum Zielort nicht gefunden. Prüfe, ob die Türen mit Strom versorgt werden und nicht verschlossen sind oder ob der Arbeiter nicht eingemauert ist.",,
ad.rej.nav.fail.grounded,"Bodengebundenes Wesen konnte keinen Weg zum Zielort finden. Prüfe, ob die Türen mit Strom versorgt werden und nicht verschlossen sind oder ob das Wesen nicht eingemauert ist.",,
ad.rej.no.flying.worker,"Diese Aufgabe erfordert Fliegen, aber es gibt keine Arbeiter mit Flugfähigkeiten",,
ad.rej.no.nutrient.extractor,"Nährstoffextraktor nicht verfügbar",,
ad.rej.no.priority,"Der Arbeiter hatte für diese Art Aufgabe 0 Priorität.",,
ad.rej.no.processor,"Prozessor nicht verfügbar",,
ad.rej.no.storage,"Lagereinheit nicht verfügbar",,
ad.rej.no.worker.can.level.up.enough,"Keiner deiner derzeitigen Arbeiter hat die nötige Fertigkeitsstufe, um diese Aufgabe auszuführen.",,
ad.rej.no.worker.with.skill,"Es verfügt noch kein Arbeiter über die <nobr><b>benötigten Fertigkeiten</b></nobr>. Baue eine <b>ML-Kabine</b> oder trainiere Arbeiter durch einfachere Aufgaben, die dieselben Fertigkeiten erfordern.",2022-11-19,
ad.rej.no.workers,"Keine Arbeiter verfügbar",,
ad.rej.processable.not.available,"Keine verarbeitbaren Gegenstände",,
ad.rej.processor.queue.full,"Prozessorwarteschlange war voll",,
ad.rej.taking.damage,"Abgebrochen, weil Arbeiter Schaden erlitten hat",,
ad.rej.target.unavailable,"Ziel nicht verfügbar",,
ad.rej.undefined,"Undefiniert (Bug)",,
ad.rej.unreachable,"Unerreichbarer Standort",,
ad.rej.unreachable.item,"Der Arbeiter konnte den Gegenstand nicht erreichen.",,
ad.rej.unreachable.mat.flying,"Der fliegende Arbeiter konnte das erforderliche Material nicht erreichen. Prüfe, ob der Arbeiter einen freien Weg zum Material hat.",,
ad.rej.unreachable.mat.grounded,"Der Arbeiter am Boden konnte das gewünschte Material nicht erreichen. Prüfe, ob der Arbeiter einen freien Weg zum Material hat.",,
ad.rej.unsafe,"Unsichere Bedingungen",,
ad.rej.unsafe.for.skilled,"Arbeiter, die diese Aufgabe ausführen können, haben keine sicheren Bedingungen rund um die Baustelle. Sehr wahrscheinlich kann dies nur ein Mensch bauen.",,
ad.rej.urgent.need,"Arbeiter hatte ein dringendes Bedürfnis",,
ad.rej.worker.offline,"Arbeiter wurde vom Netz genommen",,
add,Hinzufügen,,
add.log.entry,"Protokolleintrag hinzufügen",,
add.to.queue,"Zur Warteschl. hinz.",,
advanced,Erweitert,,"For now only used in switching between »Advanced« and »Basic« life support system function"
advert.cancel,"{0} abbrechen",,
advert.priority,"Aufgabenpriorität: {0}",,
advert.priority.down,"Priorität verringern",,
advert.priority.up,"Priorität erhöhen",,
advert.reject.info,"Aufgabe abgelehnt <i>[{0}]</i>: {1} ({2})",,
advert.rejected,Abgelehnt,,
advert.retry,"Aufgabe wiederholen",,
advert.task,"Aufgabe <i>[{0}]</i>: {1}",,
aesthetics,Ästhetik,,
aesthetics.at,"Ästhetik: {0}: {1:0.0}",,
after.settle,"Deine Kolonie hat sich auf {0} niedergelassen. Es hat {1} Tag(e) gedauert, den Planeten zu finden und zu terraformieren. {2} Kolonisten haben beschlossen, auf dem Schiff zu bleiben.<br><br>Du kannst nun das Universum so lange erforschen, wie du willst.",,"{0} is planet name, {1} is a number (of days), {2} is a number (of colonists)"
age,Alter,,
airtightness.at,"Luftdichtheit bei {0}: {1}",,"When you open »airtightness« overlay, hovering any location with the mouse will show a tooltip showing »Airtightness at [123:12]: 99%«. {0} variable is coordinate, {1} is percentage."
all.time,Gesamtlaufzeit,,"Used in stock market history range choice (1 day, 1 week, 1 month, 1 year, all time)"
alone,Allein,,"Used in showing mood boost reason for introverted people when they are alone, not in a crowd"
amb.color,Umgebungsbeleuchtung,2022-09-03,"For video setting that controls how much ambient light will there be, i.e. How dark things will get if there are no lamps installed. Last change was »Ambient Color« — »Ambient Light«"
amb.color.bright,"Viel zu hell",,"Ambient light option when everything will be very bright"
amb.color.dark,"Nebel des Krieges",,"Darkest ambient light option, that will keep things very dark unless there are light sources"
amb.color.dim,"Immersive Trübe",,"Somewhat dark ambient light option that still has good visibility"
amb.color.mid,Moderat,,"Medium ambient light option, between bright and dark"
ammo,Munition,,
ammo.bar,"Munition: {0}/{1}",,
ammo.type,"Munitionstyp: {0}",,
amount.left,Restmenge,,
animated.bg,Weltraumhintergrundanimation,,
anomalies,Anomalien,,
anomalies.info,"Dieses Objekt weist Anomalien auf, auf die man bei Expeditionen stoßen kann. Diese können gefährlich sein!",,
apply,Anwenden,,
area.size,"Größe {0}",,
arriving.soon,"{0} trifft ein",,"{0} will be replaced with who is arriving (i.e Arriving: Ore trader). For now only used for notifying about arriving merchants."
asimov.violation.1,"Diese Aktion verstößt gegen Asimovs erstes Gesetz der Robotik. Ein Roboter darf einen Menschen nicht verletzen oder durch Untätigkeit zulassen, dass ein Mensch zu Schaden kommt. Abbruch.",,
asimov.violation.3,"Diese Aktion verstößt gegen Asimovs drittes Gesetz der Robotik. Ein Roboter muss seine eigene Existenz schützen, solange dies nicht gegen das erste oder zweite Gesetz verstößt. Abbruch.",,
assemble,Herstellen,,
assembling.now,"Stelle {0} her",,"1. This is a text in UI of the Crafting Station/Assembler/Fabricator.
It combined with the name of the device which is produced right now (like 'Assembling Microchip')
2. This is a tooltip text, appearing when you hover a mouse over Crafting Station/Assembler/Fabricator.
It combined with the state of production process in percents (like 'Assembling 85%')"
assigned.to.selected.worker,"Ausgewähltem Arbeiter zugewiesen",,
assigned.to.worker,"{0} zugewiesen",,
assigned.worker,Zugewiesen,,
asteroid,Asteroid,,
asteroid.avoided,"Eine gute Nachricht, Freunde! Wir haben eine Asteroidenkollision vermieden!",,"Referencing Prof. Hubert Farnsworth from »Futurama«"
asteroid.impact,Asteroideneinschlag,,
asteroid.incoming,"Asteroid im Anflug",,
ate.at.makeshift.table,"An einem provisorischen Tisch gegessen",,
ate.at.table,"An einem Tisch gegessen",,
ate.from.a.bowl,"Aus einer Schüssel gegessen",,
ate.without.bowl,"Ohne Schüssel gegessen",,
ate.without.table,"Ohne Tisch gegessen",,
attachment.Friendship,Freundschaft,,
attachment.Friendship.about,"Dieses Person wird als Freund betrachtet.",,
attachment.PersonBed,Bett,,
attachment.PersonBed.about,"Diese Person betrachtet dieses Bett als ihr Eigentum. Sie wird versuchen, hier zu schlafen, wenn sie kann.",,
attachment.PetBed,Haustierbett,,
attachment.PetBed.about,"Dieses Haustier betrachtet dieses Bett als sein Eigentum. Es wird versuchen, hier zu schlafen, wenn es kann.",,
attention,Achtung,,
attracted.to,"Hingezogen zu",,"For showing what gender the being is attracted to (i.e. Attracted To — Female)"
audio.amb.cutoff.tip,"Wenn aktiviert, klingen Umgebungsgeräusche (verschiedene Gerätegeräusche, Motorgeräusche etc.) aus der Ferne gedämpfter.",,
audio.fx.cutoff.tip,"Wenn aktiviert, werden Geräuscheffekte (Pieptöne, Explosionen etc.) aus der Ferne gedämpfter klingen.",,
audio.max.silence,"Stille zwischen den Musiktiteln: {0}",,
audio.max.silence.tip,"Passt die Stille zwischen den Musiktiteln an.",,
audio.music.cutoff.tip,"Wenn aktiviert, klingt die Musik dumpfer, wenn du nahe heranzoomst.",,
audio.ui.hover,UI-Hover-Geräusche,,
auto,Auto,,"short for »Automatic«, could be used on a narrow button that toggles between automatic and some other (i.e. manual) setting"
auto.clean,"Autom. reinigen",,
auto.clean.info,"Wenn automatisches Reinigen aktiviert ist, werden die Arbeiter dieses Gerät selbsttätig säubern, wenn es schmutzig wird.",,
auto.close,"Autom. schließen",,
auto.harvest,"Autom. ernten",,
auto.haul,"Autom. sammeln",,
auto.haul.info,"Arbeiter werden automatisch kompatible Gegenstände zu dieser Einrichtung transportieren, sofern nicht automatisches Sammeln ist in der Gerätekonfiguration deaktiviert ist.",,
auto.refill.amount,"Autom. Auffüllmenge",,
auto.refill.amount.help,"Dies ist die maximale Menge an Materialien, die die Arbeiter in den Reaktor einfüllen. Die Aufgabe, den Reaktor wieder aufzufüllen, wird automatisch erstellt, wenn die Brennstoffmenge unter 50 % der automatischen Auffüllmenge fällt.",2022-06-27,
auto.report.consent,"Einverständnis zum automatischen Erstellen von Fehlerberichten",,
auto.report.consent.info,"Möchtest du Spielabstürze und Fehler automatisch an den Entwickler melden?<br><br>Diese Berichte sind wichtig, um Probleme und Fehler im Spiel zu beheben, also ziehe es bitte in Betracht, dies zu akzeptieren.<br><br>Mehr Details unter https://stardeusgame.com/privacy/",,
auto.reporting,"Autom. Fehlerberichterstattung",,
auto.reporting.tip,"Wenn diese Option aktiviert ist, werden Fehler, Ausnahmesituationen und Abstürze im Spiel an den Entwickler gesendet. Bitte ziehe in Betracht, dies aktiviert zu lassen, wenn du möchtest, dass das Spiel besser wird. Finde mehr darüber heraus, was gesendet wird, unter https://stardeusgame.com/privacy/",,
auto.save.on.exit,"Automatisches Speichern beim Schließen",,
auto.save.periodic,"Regelmäßiges automatisches Speichern",,
autoclean.amount,Selbstreinigungswert,,
autoclean.disabled,"Automatische Reinigung deaktiviert",,
autoclean.dust.amount,Automatische-Reinigung-Grenzwert,,
autoclean.dust.tooltip,"Erstellt automatisch eine Aufgabe zum Reinigen des Paneels, wenn der Staubgehalt diesen Wert erreicht",,
autoclean.enabled,"Automatische Reinigung aktiviert",,
autoclean.interval.minutes,"Selbstreinigungsintervall (Minuten)",,
autosave,"Automatisches Speichern",,
autosave.short,A,,
autosaving,"Lege autom. Speicherstand an",,
autoscale.on,"Automatische Skalierung der Benutzeroberfläche aktivieren",,
autoscale.on.why,"Die Bildschirmauflösung wurde geändert. Die Benutzeroberfläche wird automatisch skaliert, da der vorherige Wert außerhalb des gültigen Bereichs lag.",,
available.count,"Eigener Bestand: {0}",2022-12-22,"[Weidengeist: Used as a label when viewing the available resources of a planet. Other uses?]"
available.materials,Inventar,2022-06-17,
available.materials.none,"Keine Materialien vorhanden!",,
available.memory,"Verfügbarer Arbeitspeicher: {0} EB",,
available.storage,"Verfügbarer Festplattenspeicher: {0} ZB",,
available.tasks,"Ausstehende Aufgaben",,
basic,Normal,,"Opposite of »Advanced«. For now only used in life support option choice (Advanced / Basic)"
battery.charge,Batterieladung,,
battery.charge.bar,"Ladung: {0}",2022-07-12,
battery.charge.rate,Laderate,,"The amount of electricity the battery draws when charging (i.e. 50kW)"
battery.discharge.rate,Entladerate,,"The amount of electricity the battery can produce when discharging (i.e. 100kW)"
battery.discharged,"Batterie leer",,
battery.info,"Batterie: {0}",,
battery.mode,"Modus: {0}",,
battery.state,Status,,
battery.state.Charging,Lädt,,
battery.state.Discharging,Entlädt,,
battery.state.Idle,Leerlauf,,
battery.ttd,"Zeit bis vollst. entladen",,
battery.ttd.tip,"Zeit bis zur vollständigen Entladung, gemessen ab aktuellem Ladewert bei maximaler Entladerate von {0}",,
beautiful.surroundings,"Wunderschöne Umgebung",,
being.can.reach,"{0} kann nach {1} gehen",,"Used to show result of »walkability« check for a selected being. {0} will be the name, {1} will be a coordinate. (John can go to [12:13])"
being.cannot.reach,"{0} kann nicht nach {1} gehen",,"Just like above, but when the walk is not possible (John cannot go to [12:13])"
being.died,"{0} gestorben",,
being.no.longer.available,"Das Wesen ist nicht mehr verfügbar.",,
being.taking.damage,"Hat Schaden durch {0} erlitten",,"{0} will be damage type, i.e. »Took Cold Damage«"
being.thinks.safe,"{0} denkt, {1} sei sicher",,"For a tooltip that shows if selected location is safe to be in. {0} is name, {1} is coordinate. Example: »John thinks [123:324] is safe«"
being.thinks.unsafe,"{0} denkt, {1} sei nicht sicher",,"For a tooltip that shows if selected location is not safe to be in. {0} is name, {1} is coordinate. Example: «John thinks [123:324] is not safe!«"
being.woke.up,"{0} ist aus der Stase aufgewacht",2022-05-17,
beings,Wesen,,
beings.carrier01,Transportdrohne,,
beings.carrier01.desc,"Eine wendige Flugdrohne, die nur für einfache Transport- und Wartungsaufgaben geeignet ist.",,
beings.cat01,Katze,,
beings.cat01.desc,"Ein kleines domestiziertes, fleischfressendes Säugetier mit weichem Fell, einer kurzen Schnauze und einziehbaren Krallen. Es wird vor allem als Haustier gehalten, um Mäuse zu fangen, und es wurden viele Rassen gezüchtet.",2022-09-12,
beings.cleaningbot01,Reinigungsroboter,,
beings.cleaningbot01.desc,"Ein intelligenter Staubsaugerroboter mit nur einer Aufgabe: die Böden zu reinigen.",,
beings.crawler01,Krabbler,,
beings.crawler01.desc,"Eine unsichtbare, spinnenartige außerirdische Spezies. Sieht gefährlich aus.",,
beings.dog01,Hund,,
beings.dog01.desc,"Ein domestiziertes, fleischfressendes Säugetier, das typischerweise eine lange Schnauze, einen scharfen Geruchssinn, nicht einziehbare Krallen und eine bellende, heulende, winselnde Stimme besitzt.",2022-09-12,
beings.drone01,Baudrohne,,
beings.drone01.desc,"Drohnen sind schnell und können im Weltraum fliegen. Sie können nicht viel Gewicht tragen und sind nicht in der Lage, fortgeschrittene Aufgaben auszuführen. Sie benötigen eine Ladestation zum Aufladen und werden langsam und ineffizient, wenn die Energie knapp wird. Du kannst sie mit einer Montagemaschine herstellen.",,
beings.human01,Mensch,,
beings.human01.desc,"Jemand, wie du es früher warst.",,
beings.robot01,Bauroboter,,
beings.robot01.desc,"Roboter sind herausragend bei mechanischen Aufgaben und können fortgeschrittene Bauarbeiten durchführen, wozu andere möglicherweise nicht in der Lage sind. Sie sind langsam und benötigen festen Boden, um sich fortzubewegen.",2022-11-13,
beings.sentry01,Sicherheitsdrohne,,
beings.sentry01.desc,"Eine Sicherheitsdrohne, die nicht viele Arbeiten erledigt, sondern für den Kampf gebaut ist. Sie hat mehr Gesundheit als eine normale Drohne. Die zusätzliche Isolierung macht sie zu einem guten Brandbekämpfer.",,
beta.wave.sync.bar,"Betawellensynchronisation: {0}",,
biowaste.accumulation,Bioabfallanhäufung,,
biowaste.amount,Bioabfallmenge,,
biowaste.amount.bar,"Bioabfall: {0}/{1}",,
biowaste.amount.warning,"Bioabfallreinigung empfohlen",,
birth.date,Geburtstag,,
blocked.door,"Blockierte Tür",,"Displayed in event panel when there is a door that is blocked by some device, preventing the door from being used"
bog.opt.half,Halb,,
bomb.arm,"Sprengstoff scharfstellen",,
bomb.armed,"Sprengstoff: scharf",,
bomb.controls,Sprengstoffsteuerung,,
bomb.detonate.now,"Jetzt detonieren",,
bomb.disarm,"Sprengstoff entschärfen",,
bomb.unarmed,"Sprengstoff: entschärft",,
bored,Gelangweilt,,
brain.stat.CanCompromiseHullIntegrity,"Könnte die Integrität des Rumpfes beeinträchtigen",,
brain.stat.CanCompromiseSafety,"Könnte die Sicherheit gefährden",,
brain.stat.Completed,"Erledigte Aufgaben",,
brain.stat.CompletedStreak,"Abgeschlossen in Serie",,
brain.stat.Failed,"Gescheiterte Aufgaben",,
brain.stat.FailedStreak,"Gescheitert in Serie",,
brain.stat.JobPriority0,"Keine Aufgabenpriorisierung",,
brain.stat.LastEvalTime,"Letzte Auswertung",,
brain.stat.LastFailedAd,"Letzter Fehlschlag",,
brain.stat.LastSuccessfulAd,"Letzter Erfolg",,
brain.stat.NoNeed,"Keine Notwendigkeit",,"One of the statistics for reasons why worker did not do some tasks. This is for types of tasks where worker needs are evaluated. I.e. robot did not recharge because the battery was full — no need"
brain.stat.NoSkill,"Nicht genug Fertigkeiten",,
brain.stat.Reluctant,"Arbeiter ist unwillig, die Aufgabe zu erledigen",,
brain.stat.Total,"Verfügbare Aufgaben",,
brain.stat.UnableToFly,"Unfähig, zu fliegen",,
brain.stat.UnreachableLoc,"Mit unerreichbarem Ort",,
brain.stat.UnreachableLocMem,"Unerreichbarer Ort im Arbeitsspeicher",,
brain.stat.UnreachableMats,"Mit unerreichbaren Materialien",,
brain.stat.Unsafe,"Aufgaben an unsicherem Ort",,
brain.stat.Workable,"Bearbeitbare Aufgaben",,
breach.capsule.incoming,"Enterkapsel nähert sich",,
breakdown.BreakdownDeconstruct,"Zusammenbruch: zerstört Gegenstände",,
