Key  (PURPLE means not ready for translation yet),Translation,Version,Comment (context for translators)
achievement.HatchCrawlers.desc,入植者の体内でクロウラーを孵化させてしまう,,
achievement.Money5,$1x10^5,,
achievement.Money5.desc,"100,000 Starcreds を入手",,
achievement.Money6,$1x10^6,,
achievement.Money6.desc,"1,000,000 Starcreds を入手",,
achievement.Money7,$1x10^7,,
achievement.Money7.desc,"10,000,000 Starcreds を入手",,
achievement.Money8,$1x10^8,,
achievement.Money8.desc,"100,000,000 Starcreds を入手",,
achievement.Money9,$1x10^9,,
achievement.Money9.desc,"1,000,000,000 Starcreds を入手",,
achievement.OnePiece,ひとつなぎの財宝,,"short for ""all in one piece"" idiom, which means ""Uninjured or unharmed; fully intact."". Examples of idiom use: We are lucky to have walked away from that car accident all in one piece. I made sure to pack the heirloom carefully so that it would still be all in one piece when it reached my daughter."
achievement.OnePiece.desc,大破した船のセクションをひとつに繋げる,,
achievement.StasisDestroyed,失われた希望,,
achievement.StasisDestroyed.desc,コールドスリープが破壊される,,
achievement.StockMarketLoss,想定の範囲内,,
achievement.StockMarketLoss.desc,証券市場で $100K の損失を出して売却した,,
achievement.TerraformAtmosphere,大気をテラフォーミング,,
achievement.TerraformAtmosphere.desc,惑星に大気を生成する,,
achievement.TerraformBiosphere,生態系をテラフォーミング,,
achievement.TerraformBiosphere.desc,惑星に生態系を生成する,,
achievement.TerraformOceans,海洋をテラフォーミング,,
achievement.TerraformOceans.desc,惑星に海洋と河川を生成する,,
achievement.TerraformTerrain,地形をテラフォーミング,,
achievement.TerraformTerrain.desc,惑星に地形と大陸を生成する,,
achievement.unlocked,アンロックした実績: {0},,
achievement.VoidRipper,ヴォイドリッパー,,"this is a name for a fictional device that allows ripping the fabric of space-time and traveling though a tunnel between two black holes. ""Void"" here is as in ""emptiness, empty space"""
achievement.VoidRipper.desc,ブラックホールを通り抜ける,,
achievement.WeaponizedCleaningBot,ターミネーター,,
achievement.WeaponizedCleaningBot.desc,お掃除ロボットを武装させる,,
achievement.Winch,ウィンチ,,
achievement.Winch.desc,船の２つのセクションをお互いに引き寄せる,,
achievements,実績,,
achievements.disabled,実績機能は無効化中,,
achievements.stat,実績 [{0}/{1}],,
act.AnimalEat,食事中,,
act.BotDock,ドッキングへ,,
act.BreakdownDeconstruct,物を破壊,,
act.BreakdownInsanity,発狂寸前,,
act.BreakdownStartFire,放火中,,
act.BreakdownRoamAround,徘徊中,,
act.BreakdownSpaceDiarrhea,宇宙下痢に悩んでいる,,
act.BringResourcesAndConstruct,建造,,
act.CatchTarget,追跡,,
act.Clean,清掃中,,
act.CleanDevice,清掃する,,
act.CleanFloors,床を清掃,,
act.CleanSolarPanel,ソーラーパネル清掃,,
act.Construct,建造,,
act.CrawlerAttached,バケモノを引き剝がそうとしている,,
act.Deconstruct,解体,,
act.Disassemble,分解,,
act.Drink,飲み物を飲んでいる,,
act.Eat,食事,,
act.EnterShuttle,シャトルへ搭乗中,,
act.FindBodyClothing,着替え中,,
act.FindHeadgear,頭にかぶるものを探しています,,
act.FindHumanPrey,獲物を探している,,
act.FindInstallableObject,組み込めるパーツを探し中,,
act.Firefight,消火作業,,
act.GatherRawMaterials,資源を収集中,,
act.GatherUnstoredRawMaterials,資源を回収中,,
act.HarvestPlant,採取中,,
act.HaulRawMaterials,資源を搬送中,,
act.HaulToNutrientExtractor,成分抽出器へ搬送中,,
act.HaulUnstoredItem,収納庫にアイテムを搬送中,,
act.Heal,治療を受けている,,
act.Install,組み込み中,,
act.InstallUpgrade,アップグレードを組み込み中,,
act.MLTrain,機械学習が進行中,,
act.MoveNextToObject,目標に移動中,,
act.MoveNextToPos,移動中,,"This is about the worker, as in ""worker is moving to position"""
act.MoveObj,移動物体,,
act.MoveToOrNextToPos,目的の場所へ移動中,,"This is about the worker, as in ""worker is moving to position"""
act.MoveToPos,移動中,,"This is about the worker, as in ""worker is moving to position"""
act.MoveToSafety,安全な場所に移動中,,
act.MoveToWorkSpot,作業を行う場所に移動中,,
act.None,何もしていません,,
act.Noop,ぶらぶらしている,,
act.OperateDevice,機器を操作中,,
act.Panic,パニック,,
act.Pet,ペットをなでている,,
act.PlaceUnconstructed,建造作業中,,
act.Process,処理中,,
act.ProcessStoredMat,格納された素材を加工中,,
act.ProvideTempGrid,一時的な接続を提供中,,
act.Recharge,充電中,,
act.RefillPetBowl,ペットの食べ物を補充中,,
act.Relocate,移設中,,
act.Repair,修理中,,
act.ReplaceTile,オブジェクトを移設中,,
act.RescueInSpace,宇宙空間で動けなくなった生命体を救出中,,
act.researching,研究中,,
act.Ride,乗っている,,
act.Roam,巡回中,,
act.Sleep,睡眠,,
act.Socialize,交際中,,
act.StartFire,放火,,
act.StoreItem,アイテムを格納中,,
act.StoreMat,資材収納庫に素材を搬送,,
act.StoreRawMaterials,資源を回収中,,
act.Uninstall,取り外し中,,
act.UseFoodConsumptionSpot,食事中,,
act.UseShower,シャワー中,,
act.UseToilet,トイレを使用中,,
act.Vent,通気中,,"接続先が宇宙空間のことがあるため、通気としています"
act.Wait,待機中,,
act.WaitForMaintenance,メンテナンス中,,
act.WaitForRecharge,充電待機中,,
act.Workout,運動中,,
action.extract_nutrients,成分を抽出,,
action.process,加工,,
action.required,対応が必要,,
action.store,資材収納庫に搬送中,,
action.store.item,収納庫にアイテムを搬送,,
action.unavailable,作業不可,,
actions.available,作業可能: {0},,
activate,有効化,,
activate.siren,非常サイレンを有効化,,
active,実行,,
active.orders,指示の実行,,
active.orders.info,"指示の合計数は<b>メモリ</b>容量によって制限されます。制限数の上限を増やすには、新たに<b>メモリモジュール</b>を建造しましょう。<br><br>制限に達すると、新しい指示を手動で作成することができなくなります。",2023-09-15,
ad.rej.cancelled,作業はキャンセルされました,,
ad.rej.construction.site.obstructed,建造する場所に到達できなかった,,
ad.rej.could.not.reserve,アイテムを確保できなかった,,
ad.rej.dock.not.available,ドッキング不可,,
ad.rej.emergency.siren,緊急警報に気を取られている,,
ad.rej.interrupted,中断された,,
ad.rej.lacking.bed,ベッドを見つけられなかった,,
ad.rej.lacking.body.clothing,衣類が見つからない,,
ad.rej.lacking.drink,飲み物がない,,
ad.rej.lacking.edible,食べ物がない,,
ad.rej.lacking.healer,治療用の機器が不足中,,
ad.rej.lacking.mat,素材が不足中,,
ad.rej.lacking.shower,シャワーが不足中,,
ad.rej.lacking.skill,作業ユニットのスキル不足,,
ad.rej.lacking.toilet,トイレが不足中,,
ad.rej.lacking.workout.equipment,運動用の器具が不足しています,,
ad.rej.nav.fail.flying,飛行タイプの作業ユニットが目標地点までの経路を見つけられませんでした。ドアに電力が供給されているか、ロックされていないか、壁に囲まれていないか確認してください。,,
ad.rej.nav.fail.grounded,接地タイプの作業ユニットが目標地点までの経路を見つけられませんでした。ドアに電力が供給されているか、ロックされていないか、壁に囲まれていないかを確認してください。,,
ad.rej.no.flying.worker,この作業には飛行できることが求められます。しかし、飛行可能な作業ユニットがいません。,,
ad.rej.no.nutrient.extractor,成分抽出器が使用できません,,
ad.rej.no.priority,作業ユニットでこのタスクの優先度がゼロになっています。,,
ad.rej.no.processor,加工できる場所がありません,,
ad.rej.no.storage,資材収納庫が使用できません,,
ad.rej.no.worker.can.level.up.enough,現在、この作業を行うのに必要なスキルを持つ作業ユニットがいません。,,
ad.rej.no.worker.with.skill,現在、<nobr><b>必要なスキル</b></nobr>を持った作業ユニットがいません。<b>機械学習ブース</b>を建造するか、同じスキルを必要とする簡単な作業をさせて訓練しましょう。,2022-11-19,
ad.rej.no.workers,割り当て可能な作業ユニットがいません,,
ad.rej.processable.not.available,加工可能な素材がありません,,
ad.rej.processor.queue.full,加工のキューは満杯です,,
ad.rej.taking.damage,作業ユニットがダメージを受けたため作業を放棄しました,,
ad.rej.target.unavailable,対象が利用不可,,
ad.rej.undefined,理由不明（Bug）,,
ad.rej.unreachable,到達できない場所,,
ad.rej.unreachable.item,作業ユニットはアイテムに到達出来なかった,,
ad.rej.unreachable.mat.flying,飛行ユニットが必要な資源に到達できません。移動経路が確保されているか確認してください。,,
ad.rej.unreachable.mat.grounded,設地ユニットが必要な資源に到達できません。移動経路が確保されているか確認してください。,,
ad.rej.unsafe,危険にさらされている,,
ad.rej.unsafe.for.skilled,対応可能な作業ユニットに対し、作業する場所周辺の安全が確保されていないようです。大抵の場合、これを建造できるのは人間だけです。,,
ad.rej.urgent.need,作業ユニットは急な用事を…,,
ad.rej.worker.offline,作業ユニットはオフライン,,
add,追加,,
add.log.entry,航海日誌に記録する,,
add.to.queue,研究待ちに追加,,
advanced,高性能モード,,
advert.cancel,キャンセル {0},,
advert.priority,タスク優先度: {0},,
advert.priority.down,優先度を下げる,,
advert.priority.up,優先度を上げる,,
advert.reject.info,作業中断 <i>[{0}]</i> : {1} - {2},,
advert.rejected,中断された,,
advert.retry,作業をリトライ,,
advert.task,タスク <i>[{0}]</i>: {1},,
aesthetics,快適性,,
aesthetics.at,快適性: {0}: {1:0.0},,
after.settle,人間たちが{0}の入植地に定着しました。惑星を発見してテラフォーミングが完了するまでに{1}日がかかりました。{2}人の入植者は船に残ることにしました。<br><br>あなたはこれから好きなだけ宇宙の探険を続けることができます。,,
age,年齢,,
airtightness.at,気密 {0}: {1},,"When you open ""airtightness"" overlay, hovering any location with the mouse will show a tooltip showing ""Airtightness at [123:12]: 99%"". {0} variable is coordinate, {1} is percentage."
all.time,全期間,,
alone,孤独感,,
amb.color,アンビエント ライト,2022-09-03,"For video setting that controls how much ambient light will there be, i.e. how dark things will get if there are no lamps installed. Last change was ""Ambient Color"" => ""Ambient Light"""
amb.color.bright,ウェイ トゥ ブライト,,
amb.color.dark,フォグ オブ ウォー,,
amb.color.dim,イマーシヴ ディム,,
amb.color.mid,ミディアム,,
ammo,弾薬,,
ammo.bar,残弾数: {0}/{1},,
ammo.type,弾薬タイプ: {0},,
amount.left,残量,,
animated.bg,背景の宇宙のアニメーション,,
anomalies,アノマリー,,
anomalies.info,この天体には探査中に発見できるアノマリーがあります。これらは危険な可能性もあります！,,
apply,確認,,
area.size,サイズ {0},,
arriving.soon,接近中: {0},,
asimov.violation.1,この行為はアシモフのロボット工学の第一原則に反しています。ロボットは人間に危害を加えてはいけません。また、その危険を見過ごすことで危害を及ぼしてもいけません。中止します。,,
asimov.violation.3,この行為はアシモフのロボット工学の第三原則に反しています。ロボットは第一原則か第二原則に反するおそれがない限り、自己を保護しなければなりません。中止します。,,
assemble,組み立て,,
assembling.now,{0}を組み立て中,,"1. This is a text in UI of the Crafting Station/Assembler/Fabricator.
It combined with the name of the device which is produced right now (like ""Assembling Microchip"")
2. This is a tooltip text, appearing when you hover a mouse over Crafting Station/Assembler/Fabricator.
It combined with the state of production process in percents (like ""Assembling 85%"")"
assigned.to.selected.worker,選択中の作業ユニットを割り当て,,
assigned.to.worker,割り当て中: {0},,
assigned.worker,割り当て済み,,
asteroid,小惑星,,
asteroid.avoided,"諸君、いい知らせだ。我々は小惑星との衝突を回避した！",,
asteroid.impact,小惑星が衝突,,
asteroid.incoming,小惑星が接近,,
ate.at.makeshift.table,何かをテーブル代わりにして食事をした,,
ate.at.table,テーブルで食事をした,,
ate.from.a.bowl,ペットボウルから食べた,,
ate.without.bowl,そこら辺に落ちているものを食べた,,
ate.without.table,テーブル以外の場所で食事をした,,
attachment.Friendship,友情,,
attachment.Friendship.about,この生命体を友人だと認識しているようです,,
attachment.PersonBed,ベッド,,
attachment.PersonBed.about,この人はこのベッドを自分の寝場所とみなしています。眠くなってきたら、ここで寝ようとします。,,
attachment.PetBed,ペット用ベッド,,
attachment.PetBed.about,このペットはこのベッドを自分の寝場所とみなしています。眠くなってきたら、ここで寝ようとします。,,
attention,注意,,
attracted.to,性的嗜好,,
audio.amb.cutoff.tip,有効にすると、環境音（各種機器の作動音、エンジン音など）が、距離に応じてこもった感じで聞こえるようになります。,,
audio.fx.cutoff.tip,有効にすると、効果音（ビープ音、爆発音など）が距離に応じてこもって聞こえるようになります。,,
audio.max.silence,BGM再生時の無音インターバル間隔: {0},,
audio.max.silence.tip,一部のオプションは、変更後すぐに適用されます。,,
audio.music.cutoff.tip,有効にすると、ズームインしたときに音楽がより小さく聞こえます。,,
audio.ui.hover,UIにカーソルを乗せた際の効果音,,
auto,自動,,
auto.clean,自動清掃,,
auto.clean.info,"自動清掃を有効にすると、この機器が汚れてきたら作業ユニットが自動的に清掃します。",,
auto.close,自動的に閉じる,,
auto.harvest,自動的に収穫,,
auto.haul,自動収集,,
auto.haul.info,"この施設の設定で""自動収集""が無効になっていない限り、作業ユニットは適切なアイテムを勝手に運びこみます。",,
auto.refill.amount,自動補充時の投入量,,
auto.refill.amount.help,作業ユニットが反応炉に投入する素材の最大量です。燃料が設定値の50%以下になると、リアクターに材料を補充するタスクが自動的に作成されます。,2022-06-27,
auto.report.consent,自動レポート送信のお願い,,
auto.report.consent.info,ゲームのクラッシュやエラーを開発元に自動的に報告するため、ご協力をいただけますか？<br><br>ゲームの問題や不具合を修正するために、これらの報告があることは非常に重要です。よろしくお願いいたします。<br><br>詳しくは、https://stardeusgame.com/privacy/,,
auto.reporting,自動エラーレポート,,
auto.reporting.tip,この機能を有効にすると、ゲーム中のエラー、例外、クラッシュに関するデータを開発チームに送信することができます。ゲームをより良くするためにご協力いただける場合、有効にしておいていただけると幸いです。送信データの内容については、stardeusgame.com/privacy/でご確認ください。,,
auto.save.on.exit,セーブして終了,,
auto.save.periodic,定期的に自動セーブする,,
autoclean.amount,自動清掃のタイミング,,
autoclean.disabled,自動清掃が無効,,
autoclean.dust.amount,自動清掃実施,,
autoclean.dust.tooltip,ソーラーパネルの粉塵の付着量がこの値に達すると、清掃するタスクが自動的に作成されます,,
autoclean.enabled,自動清掃が有効,,
autoclean.interval.minutes,自動清掃間隔（1分単位）,,
autosave,オートセーブ中,,
autosave.short,A,,
autosaving,オートセーブ中,,
autoscale.on,UIサイズの自動調整をON,,
autoscale.on.why,画面解像度が変更されて以前の値が有効範囲外になったため、UIのサイズが自動調整されました。,,
available.count,所持数: {0},2022-12-22,Tells how many items of that type are owned by the player. {0} is a number
available.materials,アイテム一覧,2022-06-17,
available.materials.none,使用可能な資源がありません！,,
available.memory,空きメモリ: {0}EB,,
available.storage,空きストレージ: {0}EB,,
available.tasks,作業中断中,,
basic,通常モード,,"Opposite of ""Advanced"". For now only used in life support option choice (Advanced / Basic)"
battery.charge,バッテリー充電量,,
battery.charge.bar,充電量: {0},2022-07-12,
battery.charge.rate,充電入力,,The amount of electricity the battery draws when charging (i.e. 50kW)
battery.discharge.rate,放電出力,,The amount of electricity the battery can produce when discharging (i.e. 100kW)
battery.discharged,放電済バッテリー,,
battery.info,バッテリー: {0},,
battery.mode,動作モード: {0},,
battery.state,状態,,
battery.state.Charging,充電中,,
battery.state.Discharging,放電中,,
battery.state.Idle,待機中,,
battery.ttd,放電までの時間,,
battery.ttd.tip,現在の充電量で、最大出力の{0}で放電した場合にバッテリーが完全に空になるまでの時間です,,
beautiful.surroundings,ステキなものに囲まれて快適,,
being.can.reach,{0}は{1}に移動可能,,"Used to show result of ""walkability"" check for a selected being. {0} will be the name, {1} will be a coordinate. (John can go to [12:13])"
being.cannot.reach,{0}は{1}に移動できない,,"Just like above, but when the walk is not possible (John cannot go to [12:13])"
being.died,{0}が死亡,,
being.no.longer.available,もう、生きてはいない,,
being.taking.damage,{0}によるダメージを受けた,,"{0} will be damage type, i.e. ""Took Cold Damage"""
being.thinks.safe,{0}は{1}は安全だと感じている,,"For a tooltip that shows if selected location is safe to be in. {0} is name, {1} is coordinate. Example: ""John thinks [123:324] is safe"""
being.thinks.unsafe,{0}は{1}に危険を感じている！,,"For a tooltip that shows if selected location is not safe to be in. {0} is name, {1} is coordinate. Example: ""John thinks [123:324] is not safe!"""
being.woke.up,{0} がコールドスリープから覚醒,2022-05-17,
beings,生命体,,
beings.carrier01,輸送ドローン,,
beings.carrier01.desc,機敏な飛行ドローンだ。簡単な運搬作業やメンテナンス作業のみを行うことができる。,,
beings.cat01,ネコ,,
beings.cat01.desc,小さな飼い慣らされた肉食哺乳類だ。柔らかな毛皮、短い鼻先、引っ込む爪を持つ。ペットとして、またはネズミどもを捕まえるために広く飼育されており、たくさんの品種がある。,2022-09-12,
beings.cleaningbot01,お掃除ロボット,,
beings.cleaningbot01.desc,お利口なお掃除ロボット。やることは一つ、床の清掃だ,,
beings.crawler01,クロウラー,,
beings.crawler01.desc,クモのような見たこともないエイリアンだ。危険な感じがする。,,
beings.dog01,イヌ,,
beings.dog01.desc,飼いならされた肉食哺乳類だ。典型的なものは長い鼻、鋭い嗅覚、引っ込まない爪を持つ。唸り声をあげたり遠吠えをしたり、ときにはキャンキャン鳴いたりする。,2022-09-12,
beings.drone01,作業ドローン,,
beings.drone01.desc,ドローンは機敏で何もないところを飛行できます。重い物は運べず、複雑な作業は出来ません。充電にはチャージステーションが必要で、エネルギーが少なくなると動きが鈍くなり、効率が悪化します。アセンブラーで作成できます。,,
beings.human01,人間,,
beings.human01.desc,人間。かつてのあなたが、そうであったような。,,
beings.robot01,作業ロボット,,
beings.robot01.desc,ロボットは機械的な作業を得意とし、他者ができない高度な建造作業を行うことができます。動作は遅く、移動にはしっかりした床面が必要です。,2022-11-13,
beings.sentry01,セントリードローン,,
beings.sentry01.desc,たくさんの仕事をこなすわけではないが、戦闘用に作られた警備ドローンだ。通常のドローンより頑丈で、耐熱装甲が彼らを強力な消防士に仕上げている。,,
beta.wave.sync.bar,ベータ波 同調率: {0},,
biowaste.accumulation,廃液の貯蔵状態,,
biowaste.amount,有機性廃液の量,,
biowaste.amount.bar,有機性廃液: {0}/{1},,
biowaste.amount.warning,清掃を推奨します,,
birth.date,生年月日,,
blocked.door,到達できないドア,,"Displayed in event panel when there is a door that is blocked by some device, preventing the door from being used"
bog.opt.half,1/2,,
bomb.arm,信管作動,,
bomb.armed,爆発物: 信管作動,,
bomb.controls,爆発物の設定,,
bomb.detonate.now,ただちに爆破,,
bomb.disarm,信管解除,,
bomb.unarmed,爆発物: 信管解除,,
bored,退屈している,,
brain.stat.CanCompromiseHullIntegrity,船体構造に損害を与えた,,
brain.stat.CanCompromiseSafety,危害を加えた,,
brain.stat.Completed,完了した作業,,
brain.stat.CompletedStreak,連続して完了した,,
brain.stat.Failed,失敗した作業,,
brain.stat.FailedStreak,連続で失敗した,,
brain.stat.JobPriority0,作業対象外,,
brain.stat.LastEvalTime,評価期間,,
brain.stat.LastFailedAd,直近の失敗,,
brain.stat.LastSuccessfulAd,直近の成功,,
brain.stat.NoNeed,対処不要,,One of the statistics for reasons why worker did not do some tasks. This is for types of tasks where worker needs are evaluated. I.e. robot did not recharge because the battery was full -> no need
brain.stat.NoSkill,スキルが足りない,,
brain.stat.Reluctant,作業ユニットはその作業をしたくない,,
brain.stat.Total,実行可能な作業,,
brain.stat.UnableToFly,飛行不能,,
brain.stat.UnreachableLoc,到達不能な場所,,
brain.stat.UnreachableLocMem,到達できない場所の記録,,
brain.stat.UnreachableMats,到達不能な素材,,
brain.stat.Unsafe,危険な場所での作業,,
brain.stat.Workable,実施可能な作業,,
breach.capsule.incoming,突入カプセル接近！,,
breakdown.BreakdownDeconstruct,精神崩壊: 手近なものを解体,,
breakdown.BreakdownDeconstruct.desc,{0}は精神が崩壊して手近な物を解体している,,
breakdown.BreakdownInsanity,不衛生,,
breakdown.BreakdownInsanity.desc,"{0}はストレスがたまりすぎておかしくなってしまった。何か悪いことが起きなければ、そのうち良くなるはず。",,
breakdown.BreakdownRoamAround,精神崩壊: 徘徊,,
breakdown.BreakdownRoamAround.desc,"{0}はあてもなく歩き回り、虚空を見つめている。",,
breakdown.BreakdownSpaceDiarrhea,病気に感染,,
breakdown.BreakdownSpaceDiarrhea.desc,{0}が宇宙下痢に感染した,,
breakdown.BreakdownStartFire,放火中,,
breakdown.BreakdownStartFire.desc,{0}が徘徊して、放火している。,,
breakdown.CrawlerAttached,入植者にバケモノが取りついた！,,
breakdown.CrawlerAttached.desc,{0}の顔にエイリアンが取りついた！,,
breakdown.Deconstruct,手近なものを勝手に解体している,,
brew,焙煎,,"Action verb. Used on a button that brews a drink (coffee, beer, etc). Should be short if possible"
brewing.bar,焙煎中: {0},,"Displayed in a tooltip of a machine that brews drinks. Shows what exactly is brewing. {0} will be the drink name, i.e. ""Brewing: Coffee"""
bridge.controls,ブリッジ制御端末,,
build.a.copy,同じものを建造,,
build.connector,コネクタ建造,,
bullet,弾,,
bullet.target,標的: {0},,
buy,購入,,
call.back,探査から呼び戻す,,
calories,カロリー,,
cancel,キャンセル,,
cancel.drag.dist.px,ドラッグを無視する操作距離: {0} ピクセル,,
cancel.task,作業中止,,
cannot.be.empty,空っぽに出来ない,,
cannot.build.floor.not.constructed,床が建造されていません,,
cannot.build.floor.not.constructed.info,壁や施設は床がすでに建造されている場合のみ、その上に建造できます。,,
cannot.change.lock.state,ロックの状態を変更できません,,
cannot.create.template,テンプレート作成不可,,
cannot.enter.no.tech,この天体には現時点では進入できません。必要なテクノロジーがありません。,,
cannot.enter.space.object.nearby,星系マップの表示範囲を変更することができません。近くの宇宙空間を移動中の物体が干渉しているようです。,,
cannot.enter.while.moving,航行中はこの天体には進入できません。速度ベクトルがすべての向きでゼロを示し、完全に停止するまでお待ちください。,,
cannot.reach.position,この場所には到達できない,,
cannot.save.gen,現時点ではセーブできません。現在実行中の操作が終了したら、再度お試しください。,,
carbohydrates,炭水化物,,
carbon.buildup,カーボンの蓄積,,
carbon.buildup.help,反応炉には時間とともにカーボンが燃えカスとして蓄積します。蓄積量が100%になるとリアクターは蓄積されたカーボンを排出します。,,
change,変更,,
change.color,色を変更,,
change.target.material,目標の素材を変更,,
changelog,変更履歴,,
charge.time.left,フルチャージ完了,,Label of the progress bar that shows how long a device (i.e. a Force Field) will have to charge to get to 100%
charging,チャージ中,,
chart,チャート,,Text on a button that toggles display of a chart (i.e. electricity graph). Should be short if possible.
chasing.target,{0}を追跡中,,"{0} will be the target (person) name (i.e. ""Chasing John"")"
choose.color,色を選択,,
clean.biowaste,清掃する,,
clean.dust,粉塵を除去,,
clean.floors,床を清掃,,
clean.now,ただちに清掃,,
clean.priority,清掃の優先度,,
clean.solar.panel,ソーラーパネルを清掃する,,
cleaning.bot,清掃ロボット,,
cleaning.floors,床を清掃中,,
cleaning.ocd,潔癖症,,
clear.all,すべてクリア,,
clear.history,履歴を消去,,
click.input.to.rebind,新たに割り当てる入力操作をしてください(5秒以内),,"A label displayed when a change in keyboard or controller bindings is being initiated. You want to rebind a shortcut to a different key, or change the controller stick that handles camera pan, you click on existing binding and this message is displayed while the game waits for you to press a button or move a stick, etc. It doesn't say ""Press a button"" because it may not always be a button (gamepad stick is a small joystick, etc)"
click.to.bind,クリックして割り当て,,
clipboard.is.empty,クリップボードには何もありません,,
clone,クローン,,
clone.desc,クローンとは通常の方法で生まれたのではなく、実験室で育てられた存在だ。クローンは年齢に関係なく、大人と同じような外見と行動をとる。,,
cloning.bar,クローン作成中: {0},,"A label for the progress bar of a cloning device. {0} is what the device is currently cloning. I.e. ""Cloning: Human"""
close,閉じる,,
close.floor.vent,床面の通気口を閉鎖,,
close.starmap,星間マップを閉じる,,
close.vent,隔壁の通気口を閉鎖,,
codex,コーデックス,,
codex.blueprints,設計図,,
codex.blueprints.mode.All,すべて,,
codex.blueprints.mode.Locked,未研究,,
codex.blueprints.mode.Unlocked,研究済,,
codex.entry,コーデックス エントリー,,
codex.equipment,装備品,,
codex.factions,勢力,,
codex.m.basebuilding,建造の基本,,
codex.m.basebuilding.buildacopy,既存のオブジェクトのコピーを作成する,,
codex.m.basebuilding.buildacopy.desc,"すでにあるものをコピーして建造したい場合、オブジェクトを選択して情報パネルのメニュー項目かコンテキストメニューから""同じものを建造""を選択してください。オブジェクトが選択されている最中にショートカット{0}を使用することもできます。<br><br>コネクタのコピーを作成するには、コネクターをドラッグして空いている床タイルにドロップします(設定可能、オフにできます)。<br><br>この方法でコピーを作成できない場合は、設計図のロックが解除されているかどうかを確認してください。",,
codex.m.basebuilding.devicewear,デバイスの損耗,,
codex.m.basebuilding.devicewear.desc,"<b>デバイスの損耗</b>はデバイスに蓄積した経年劣化による損耗量を示します。損傷を修理することはできますが、損耗を減らすことはできません。損耗が100%に達すると、デバイスは修理できなくなります。<br><br>損耗したデバイスは、同じ場所で同じデバイスを作成するように指示することで置き換えできます。<br><br>デバイスに対する一部の操作は、わずかながら損耗を引き起こすことがあります。<br><br>損耗率が100%のデバイスは、使用時に<b>経年劣化ダメージ</b>を受け、最終的には故障します。",2023-08-29,
